Site,Date,Depth,Temp
98_osh,2024-11-29,5,12.396710112690926
98_osh,2024-11-29,10,12.396710112690926
98_osh,2024-11-29,15,12.396710112690926
98_osh,2024-11-29,20,12.396710112690926
98_osh,2024-11-29,30,12.428205214440824
98_osh,2024-11-29,40,12.250221267342567
98_osh,2024-11-29,50,11.9440595805645
98_osh,2024-11-30,5,12.150608852505684
98_osh,2024-11-30,10,12.150608852505684
98_osh,2024-11-30,15,12.150608852505684
98_osh,2024-11-30,20,12.150608852505684
98_osh,2024-11-30,30,12.16965240240097
98_osh,2024-11-30,40,12.225318163633348
98_osh,2024-11-30,50,11.871547602117062
98_osh,2024-12-01,5,11.9440595805645
98_osh,2024-12-01,10,11.9440595805645
98_osh,2024-12-01,15,11.9440595805645
98_osh,2024-12-01,20,11.9440595805645
98_osh,2024-12-01,30,11.9440595805645
98_osh,2024-12-01,40,12.151341296732426
98_osh,2024-12-01,50,11.726523645222189
98_osh,2024-12-02,5,11.845179609954355
98_osh,2024-12-02,10,11.84664449840784
98_osh,2024-12-02,15,11.848109386861324
98_osh,2024-12-02,20,11.848109386861324
98_osh,2024-12-02,30,11.851039163768291
98_osh,2024-12-02,40,12.155003517866136
98_osh,2024-12-02,50,11.663533441722391
98_osh,2024-12-03,5,11.769737854599953
98_osh,2024-12-03,10,11.769737854599953
98_osh,2024-12-03,15,11.769737854599953
98_osh,2024-12-03,20,11.769737854599953
98_osh,2024-12-03,30,11.769737854599953
98_osh,2024-12-03,40,12.16159551590681
98_osh,2024-12-03,50,11.64229255914688
98_osh,2024-12-04,5,11.64156011492014
98_osh,2024-12-04,10,11.64156011492014
98_osh,2024-12-04,15,11.64156011492014
98_osh,2024-12-04,20,11.64156011492014
98_osh,2024-12-04,30,11.64156011492014
98_osh,2024-12-04,40,12.159398183226584
98_osh,2024-12-04,50,11.679647214710712
98_osh,2024-12-05,5,11.509720154106615
98_osh,2024-12-05,10,11.509720154106615
98_osh,2024-12-05,15,11.509720154106615
98_osh,2024-12-05,20,11.509720154106615
98_osh,2024-12-05,30,11.509720154106615
98_osh,2024-12-05,40,12.143284410238266
98_osh,2024-12-05,50,11.695760987699032
98_osh,2024-12-06,5,11.352977089583874
98_osh,2024-12-06,10,11.352977089583874
98_osh,2024-12-06,15,11.352977089583874
98_osh,2024-12-06,20,11.352977089583874
98_osh,2024-12-06,30,11.352977089583874
98_osh,2024-12-06,40,12.096407979726791
98_osh,2024-12-06,50,11.652546778321266
98_osh,2024-12-07,5,11.154484704136848
98_osh,2024-12-07,10,11.154484704136848
98_osh,2024-12-07,15,11.154484704136848
98_osh,2024-12-07,20,11.154484704136848
98_osh,2024-12-07,30,11.154484704136848
98_osh,2024-12-07,40,11.88766137510538
